nome_produto;preco_atual;descricao;cor;tamanhos_disponiveis;objetivo;url_site;url_imagem;loja;categoria;genero_destinado
Nike Tênis Nike Air Force 1 07 LX Feminino;999.99;Tênis Nike Air Force 1 07 LX Feminino Branco Características O Tênis Nike Air Force 1 07 LX Feminino na cor Branco é um verdadeiro ícone de estilo e conforto. Feito de Couro (não animal), este material traz uma combinação perfeita de durabilidade, conforto e elegância. O Couro proporciona respirabilidade aos pés, mantendo-os frescos e confortáveis durante todo o dia. Além disso, a durabilidade do Couro garante que seu tênis permaneça em ótimo estado por muito tempo. A cor Branco é atemporal e versátil, combinando facilmente com diferentes estilos e cores de roupa, adicionando um toque de sofisticação a qualquer look. Versatilidade O Tênis Nike Air Force 1 07 LX Feminino é extremamente versátil e pode ser usado em uma grande variedade de ocasiões. Seja para um dia casual no shopping, um passeio no parque ou até mesmo para um evento mais descontraído, este tênis é perfeito para quem busca conforto, estilo e praticidade. Sua versatilidade permite que seja combinado com roupas esportivas, casuais ou até mesmo looks mais elegantes, adaptando-se perfeitamente a qualquer situação. Adicione um toque de modernidade e sofisticação ao seu visual com o Tênis Nike Air Force 1 07 LX Feminino Branco.;Branco;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-nike-air-force-1-07-lx-feminino-hv599-0-172/p;https://artwalk.vtexassets.com/arquivos/ids/572758-300-375?v=638739393033330000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Nike Tênis Nike Air Force 1 07 LX Feminino;999.99;Tênis Nike Air Force 1 07 LX Feminino Branco Características O Tênis Nike Air Force 1 07 LX Feminino na cor Branco é uma escolha sofisticada e versátil para o seu estilo. Feito de Couro (não animal), este material de alta qualidade proporciona conforto, durabilidade e um toque de elegância ao calçado. Além disso, o Couro confere um aspecto único ao tênis, tornando-o um item diferenciado em seu guarda-roupa. A cor Branco é clássica e atemporal, permitindo combinações infinitas com diferentes peças de roupa e estilos. Seja para um look mais casual ou para um visual mais despojado, este tênis se adapta perfeitamente, adicionando um toque moderno e estiloso a qualquer produção. Versatilidade Com o Tênis Nike Air Force 1 07 LX Feminino Branco, você terá em mãos um calçado versátil que se encaixa em diversas ocasiões. Sua versatilidade permite que seja usado tanto em momentos mais descontraídos, como um passeio no parque, quanto em ocasiões que exigem um visual mais arrumado, como um almoço com amigos. Combine-o com peças esportivas para um look despojado, ou com itens mais elegantes para um visual moderno e cheio de personalidade. Seja qual for a ocasião, este tênis é a escolha perfeita para quem busca conforto e estilo em um único produto.;Branco;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-nike-air-force-1-07-lx-feminino-hv599-2-111/p;https://artwalk.vtexassets.com/arquivos/ids/573161-300-375?v=638747914576030000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Nike Tênis Nike Air Force 1 07 LV8 Masculino;899.99;Tênis Nike Air Force 1 07 LV8 Masculino Preto Características O Tênis Nike Air Force 1 07 LV8 Masculino na cor Preto é feito de Couro (não animal), o que proporciona conforto, durabilidade e estilo ao produto. O material de Couro garante uma sensação de maciez e ajuste perfeito aos pés, além de ser resistente ao desgaste do dia a dia. A cor Preto é versátil e combina facilmente com diferentes estilos, adicionando um toque de elegância e modernidade ao visual. Versatilidade Esse tênis da Nike é extremamente versátil e pode ser usado em diversas ocasiões, destacando-se no estilo . Seja para um passeio descontraído, um encontro casual ou até mesmo para um compromisso mais formal, o Tênis Nike Air Force 1 07 LV8 Masculino Preto se adapta ao seu estilo, garantindo conforto e um toque de personalidade em qualquer look.;Preto;Não informado;Casual / Dia a Dia;https://www.artwalk.com.br/tenis-nike-air-force-1-07-lv8-masculino-hf289-8-001/p;https://artwalk.vtexassets.com/arquivos/ids/572709-300-375?v=638739382581800000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Air Force 1 07 LV8 Masculino;899.99;Tênis Nike Air Force 1 07 LV8 Masculino Cinza Características Este incrível Tênis Nike Air Force 1 07 LV8 Masculino na cor Cinza é confeccionado em Couro (não animal), proporcionando um toque de sofisticação e estilo ao calçado. O material de Couro é conhecido por sua durabilidade e resistência, garantindo que seu tênis dure por muito tempo sem perder a qualidade. Além disso, o Couro contribui para o conforto dos pés, moldando-se de maneira única a cada pessoa que o utiliza. A cor Cinza é versátil e combina facilmente com diferentes estilos, podendo ser usado em produções mais casuais ou até mesmo em looks mais formais, agregando um toque de elegância e personalidade. Versatilidade O Tênis Nike Air Force 1 07 LV8 Masculino Cinza é extremamente versátil, podendo ser usado em diversas ocasiões. Seja para um passeio no parque, um dia de trabalho mais descontraído ou até mesmo para um happy hour com os amigos, este tênis se encaixa perfeitamente em todos os momentos. Seu design moderno e confortável o torna ideal para o estilo , que combina o conforto das roupas esportivas com a sofisticação das peças do dia a dia. Com o Tênis Nike Air Force 1 07 LV8 Masculino Cinza, você estará sempre estiloso e preparado para qualquer situação.;Cinza;Não informado;Dia a Dia / Passeio;https://www.artwalk.com.br/tenis-nike-air-force-1-07-lv8-masculino-hm948-3-001/p;https://artwalk.vtexassets.com/arquivos/ids/571788-300-375?v=638721309247770000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Dunk Low GS RG Infantil;699.99;Tênis Nike Dunk Low GS RG Infantil Rosa Características O Tênis Nike Dunk Low GS RG Infantil Rosa é confeccionado com materiais de alta qualidade, proporcionando conforto, durabilidade e estilo incomparáveis. O cabedal garante respirabilidade, enquanto a entressola em EVA absorve impactos, garantindo conforto durante todo o dia. Além disso, a sola de borracha oferece tração e aderência em diferentes superfícies. A cor Rosa traz um toque de delicadeza e modernidade ao visual, combinando perfeitamente com diversas peças de roupa para criar looks cheios de personalidade. Versatilidade Com um design versátil e contemporâneo, o Tênis Nike Dunk Low GS RG Infantil Rosa pode ser usado em diversas ocasiões, desde um passeio no parque até um encontro com os amigos. Sua versatilidade se destaca especialmente no estilo , que une o conforto esportivo com a elegância do dia a dia. Combine esse tênis com peças casuais ou até mesmo com um look mais despojado, e esteja pronta para arrasar em qualquer lugar.;Rosa;Não informado;Esportivo / Dia a Dia;https://www.artwalk.com.br/tenis-nike-dunk-low-gs-rg-infantil-do648-5-600/p;https://artwalk.vtexassets.com/arquivos/ids/571955-300-375?v=638732370594570000&width=300&height=375&aspect=true;Artwalk;Tênis;Infantil
Nike Tênis Nike Comfort Ride Masculino;499.99;Tênis Nike Comfort Ride Masculino Branco Características O Tênis Nike Comfort Ride Masculino na cor Branco é um calçado feito de material sintético, que oferece conforto, durabilidade e estilo. O material sintético proporciona leveza ao tênis, tornando-o ideal para longos períodos de uso. Além disso, a durabilidade do material garante que o calçado mantenha sua qualidade por mais tempo. O estilo moderno e versátil do tênis Nike Comfort Ride na cor Branco permite que ele seja facilmente combinado com diferentes looks, agregando um toque de sofisticação e elegância. Versatilidade Este tênis Nike é perfeito para diversas ocasiões, destacando-se pela Sua versatilidade. Seja para um passeio no parque, uma ida à academia ou mesmo para um dia casual no trabalho, o Tênis Nike Comfort Ride Masculino na cor Branco complementa qualquer look, trazendo conforto e estilo para o dia a dia. Sinta-se confiante e estiloso em todas as situações com este calçado versátil e moderno.;Branco;Não informado;Academia / Casual;https://www.artwalk.com.br/tenis-nike-comfort-ride-masculino-hv506-0-100/p;https://artwalk.vtexassets.com/arquivos/ids/573326-300-375?v=638748892382400000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Air Force 1 07 Feminino;899.99;Tênis Nike Air Force 1 07 Feminino Branco Características O Tênis Nike Air Force 1 07 Feminino na cor Branco é uma combinação perfeita de estilo e conforto. Com seu material sintético de alta qualidade, este tênis oferece durabilidade excepcional, além de um ajuste confortável que se adapta aos pés. O material sintético também confere um visual moderno e elegante, garantindo que você esteja sempre na moda. A cor Branco é versátil e atemporal, combinando facilmente com diferentes estilos de roupa, desde looks casuais até mais formais. Seja para um passeio no parque ou um encontro com amigos, este tênis é a escolha ideal para quem busca praticidade e estilo. Versatilidade O Tênis Nike Air Force 1 07 Feminino Branco é extremamente versátil e pode ser usado em diversas ocasiões. Seja para praticar esportes, ir à academia ou simplesmente para um dia de lazer, este tênis se adapta perfeitamente ao seu estilo de vida. Além disso, com sua pegada , ele combina facilmente com peças esportivas e casuais, trazendo um toque de sofisticação para qualquer look. Aposte neste modelo e esteja sempre confortável e estilosa em todas as suas atividades do dia a dia.;Branco;Não informado;Academia / Dia a Dia;https://www.artwalk.com.br/tenis-nike-air-force-1-07-feminino-hf201-4-100/p;https://artwalk.vtexassets.com/arquivos/ids/573302-300-375?v=638748885678570000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Nike Tênis Nike Air Max DN Masculino;1299.99;Tênis Nike Air Max DN Masculino Preto Características O Tênis Nike Air Max DN Masculino na cor Preto é feito de Material têxtil, que proporciona um ajuste confortável e respirável para os pés. Além disso, o material têxtil contribui para a durabilidade do produto, garantindo que ele possa ser usado por um longo período sem perder sua qualidade. O estilo do tênis é aprimorado pelo material têxtil, que confere um visual moderno e descolado. A cor Preto é versátil e atemporal, combinando facilmente com diferentes estilos, desde o casual até o mais formal, proporcionando um toque de elegância a qualquer look. Versatilidade O Tênis Nike Air Max DN Masculino Preto é extremamente versátil, podendo ser usado em diversas ocasiões. Seu design moderno e esportivo se encaixa perfeitamente no estilo , que combina peças esportivas com itens do dia a dia, criando um visual casual e elegante ao mesmo tempo. Desde um passeio no parque até um dia de trabalho mais descontraído, este tênis é a escolha perfeita para quem busca conforto, estilo e versatilidade em um único produto.;Preto;Não informado;Esportivo / Casual;https://www.artwalk.com.br/tenis-nike-air-max-dn-masculino-hv523-5-002/p;https://artwalk.vtexassets.com/arquivos/ids/574863-300-375?v=638778989458030000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Lebron XXII Masculino;1599.99;Tênis Nike Lebron XXII Masculino Rosa Características O Tênis Nike Lebron XXII Masculino na cor Rosa é feito de um material PENDENTE, que garante conforto, durabilidade e estilo. O material PENDENTE proporciona um ajuste perfeito aos pés, garantindo conforto durante todo o dia. Além disso, a durabilidade do tênis é assegurada, tornando-o ideal para o uso diário. A cor Rosa dá um toque de feminilidade e delicadeza ao calçado, combinando perfeitamente com diferentes estilos, desde os mais esportivos até os mais casuais. Versatilidade Este Tênis Nike Lebron XXII Masculino é extremamente versátil, podendo ser usado em diversas ocasiões. Seu design moderno e a cor Rosa tornam-no uma peça-chave para o estilo , que mescla o conforto esportivo com elementos fashion. Combine este tênis com roupas esportivas para um look casual e descontraído, ou com peças mais elegantes para um toque de estilo urbano. Seja para um passeio no parque, para um dia de trabalho ou para um encontro com amigos, este tênis é a escolha perfeita para quem busca praticidade e estilo.;Rosa;Não informado;Esportivo / Casual;https://www.artwalk.com.br/tenis-nike-lebron-xxii-masculino-hv845-5-600/p;https://artwalk.vtexassets.com/arquivos/ids/574394-300-375?v=638767769592300000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Air Force 1 07 LV8 Trend Masculino;899.99;Tênis Nike Air Force 1 07 LV8 Trend Masculino Marrom Características O Tênis Nike Air Force 1 07 LV8 Trend Masculino na cor Marrom é confeccionado em Couro (não animal), garantindo conforto, durabilidade e estilo. O material de Couro proporciona uma sensação agradável ao toque, além de ser resistente e de alta qualidade. A cor Marrom é uma escolha versátil que combina facilmente com diferentes looks, agregando sofisticação e elegância ao visual. Seja para um estilo mais casual ou para um look mais refinado, o Tênis Nike Air Force 1 07 LV8 Trend Masculino Marrom é uma escolha certeira. Versatilidade Com um design moderno e urbano, o Tênis Nike Air Force 1 07 LV8 Trend Masculino Marrom é extremamente versátil e pode ser usado em diversas ocasiões. A versatilidade desse modelo se destaca principalmente no estilo , que mescla peças esportivas com outras mais casuais, criando um visual contemporâneo e cheio de personalidade. Seja para um passeio no parque, uma saída com os amigos ou até mesmo para um evento mais descontraído, este tênis é a opção perfeita para quem busca conforto, estilo e versatilidade em um único calçado.;Marrom;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-nike-air-force-1-07-lv8-trend-masculino-hj446-5-200/p;https://artwalk.vtexassets.com/arquivos/ids/572687-300-375?v=638739307404200000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Air Max DN SE Masculino;1299.99;Tênis Nike Air Max DN SE Masculino Azul Características O Tênis Nike Air Max DN SE Masculino na cor Azul é feito de material têxtil, proporcionando um ajuste confortável e respirável para os pés. Além disso, o material têxtil contribui para a durabilidade do calçado, garantindo que você possa aproveitar seu estilo por mais tempo. A cor Azul traz um toque de estilo e versatilidade, combinando facilmente com diferentes looks e adicionando um toque de cor aos seus outfits. Versatilidade Com seu design moderno e confortável, o Tênis Nike Air Max DN SE é perfeito para diversas ocasiões. Seja para praticar esportes, passear no dia a dia ou até mesmo para um visual mais casual e despojado, este tênis se destaca pela sua versatilidade no estilo . Combinando moda e funcionalidade, ele é uma excelente escolha para quem busca conforto e estilo em um único calçado.;Azul;Não informado;Casual / Dia a Dia;https://www.artwalk.com.br/tenis-nike-air-max-dn-se-masculino-hf553-1-400/p;https://artwalk.vtexassets.com/arquivos/ids/572741-300-375?v=638739389004870000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Dunk Low GS Infantil;749.99;Tênis Nike Dunk Low GS Infantil Branco Características O Tênis Nike Dunk Low GS Infantil na cor Branco é confeccionado em material de alta qualidade, proporcionando conforto, durabilidade e estilo. O material (-) utilizado nesse modelo garante um ajuste perfeito aos pés, promovendo conforto durante o uso prolongado. Além disso, a durabilidade do produto é garantida, permitindo que as crianças aproveitem ao máximo seu tênis por muito tempo. O design na cor Branco adiciona um toque de elegância e versatilidade ao calçado, combinando facilmente com diferentes estilos e cores de roupas. Versatilidade O Tênis Nike Dunk Low GS Infantil Branco é extremamente versátil e pode ser usado em diversas ocasiões. Seja para um passeio no parque, uma festa de aniversário ou até mesmo para a escola, este modelo se destaca pela sua versatilidade. O estiloestá em alta e esse tênis é perfeito para compor looks modernos e confortáveis. As crianças podem brincar, correr e se divertir sem perder o estilo, mostrando que é possível aliar conforto e moda em um único calçado.;Branco;Não informado;Passeio / Estilo;https://www.artwalk.com.br/tenis-nike-dunk-low-gs-infantil-hv600-1-101/p;https://artwalk.vtexassets.com/arquivos/ids/573379-300-375?v=638749669408500000&width=300&height=375&aspect=true;Artwalk;Tênis;Infantil
Nike Tênis Nike Dunk Low Se Masculino;899.99;Tênis Nike Dunk Low Se Masculino Bege Características O Tênis Nike Dunk Low Se Masculino na cor Bege é uma opção elegante e versátil para o seu dia a dia. Feito de Couro(não animal), este material de alta qualidade contribui para o conforto, durabilidade e estilo do produto. O couro proporciona um ajuste personalizado ao seu pé, além de garantir resistência e longevidade ao tênis. A cor Bege é uma escolha atemporal que combina facilmente com diferentes estilos de roupa, desde um look mais casual até um visual mais sofisticado. Seja para um passeio no parque ou um evento mais formal, este tênis é a escolha perfeita para quem busca conforto e estilo. Versatilidade Este Tênis Nike Dunk Low Se Masculino é extremamente versátil e pode ser usado em diversas ocasiões. Com um design moderno e urbano, ele se encaixa perfeitamente no estilo , que une peças esportivas com elementos do dia a dia. Seja para um passeio descontraído com os amigos, uma ida ao shopping ou até mesmo para um evento mais casual, este tênis é o complemento ideal para o seu visual. Sinta-se confortável e estiloso em qualquer situação com o Tênis Nike Dunk Low Se Masculino na cor Bege.;Bege;Não informado;Casual / Dia a Dia;https://www.artwalk.com.br/tenis-nike-dunk-low-se-masculino-hv693-2-299/p;https://artwalk.vtexassets.com/arquivos/ids/572767-300-375?v=638739538043730000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Dunk Low GS Infantil;699.99;Tênis Nike Dunk Low GS Infantil Cinza Características O Tênis Nike Dunk Low GS Infantil na cor Cinza é confeccionado com material de alta qualidade, que garante conforto, durabilidade e estilo. O material utilizado proporciona uma sensação agradável ao caminhar, além de conferir resistência para acompanhar o ritmo agitado das crianças. A cor Cinza é versátil e moderna, permitindo combinações com diversos looks, desde os mais casuais até os mais descolados. Versatilidade Com um design urbano e esportivo, o Tênis Nike Dunk Low GS Infantil é extremamente versátil. Ideal para ser usado em diferentes ocasiões, ele se destaca no estilo , que une moda e conforto. Seja para brincar no parque, ir à escola ou passear com os amigos, este tênis irá proporcionar o suporte e estilo necessário para as crianças se sentirem confiantes em todas as atividades do dia a dia.;Cinza;Não informado;Esportivo / Dia a Dia;https://www.artwalk.com.br/tenis-nike-dunk-low-gs-infantil-hv636-3-009/p;https://artwalk.vtexassets.com/arquivos/ids/575730-300-375?v=638787801831800000&width=300&height=375&aspect=true;Artwalk;Tênis;Infantil
Nike Tênis Nike Air Force 1 07 LV8 Masculino;899.99;Tênis Nike Air Force 1 07 LV8 Masculino Branco Características O Tênis Nike Air Force 1 07 LV8 Masculino na cor Branco é um calçado que une estilo e qualidade. Feito de Couro (não animal), o material proporciona conforto aos pés, garantindo uma sensação de maciez e ajuste perfeito. Além disso, o Couro confere durabilidade ao tênis, permitindo que ele seja usado por muito tempo sem perder sua elegância. A cor Branco, por sua vez, é versátil e atemporal, combinando facilmente com diferentes estilos de roupas e acessórios, desde looks mais casuais até produções mais sofisticadas. Versatilidade O Tênis Nike Air Force 1 07 LV8 Masculino Branco é extremamente versátil e pode ser usado em diversas ocasiões. Seu design clássico e clean o torna perfeito para o estilo , que combina peças esportivas com itens do dia a dia, proporcionando um visual moderno e despojado. Seja para um passeio no parque, um encontro com amigos ou até mesmo para um dia de trabalho mais descontraído, este tênis é a escolha ideal para quem busca conforto e estilo em um único produto.;Branco;Não informado;Dia a Dia / Passeio;https://www.artwalk.com.br/tenis-nike-air-force-1-07-lv8-masculino-hf289-8-100/p;https://artwalk.vtexassets.com/arquivos/ids/572461-300-375?v=638737752061930000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Air Force 1 07 Feminino;899.99;Tênis Nike Air Force 1 07 Feminino Marrom Características O Tênis Nike Air Force 1 07 Feminino na cor Marrom é o par perfeito para quem busca conforto, durabilidade e estilo em um só produto. Seu material sintético de alta qualidade proporciona uma sensação acolhedora aos pés, garantindo horas de uso sem desconforto. Além disso, a durabilidade do material sintético torna este tênis uma excelente escolha para quem busca um calçado resistente ao desgaste do dia a dia. A cor Marrom confere um toque de elegância e versatilidade ao visual, combinando facilmente com diferentes estilos de roupa, desde looks mais despojados até os mais formais. Versatilidade Com o Tênis Nike Air Force 1 07 Feminino Marrom, você tem em mãos um calçado versátil que pode ser usado em diversas ocasiões. Seja para um passeio no parque, um dia de compras ou até mesmo para um evento mais casual, este tênis é a escolha ideal. Sua versatilidade permite que você misture peças esportivas com roupas do dia a dia, criando looks modernos e confortáveis. Com o Tênis Nike Air Force 1 07 Feminino Marrom, você estará sempre pronta para arrasar em qualquer situação.;Marrom;Não informado;Casual / Dia a Dia;https://www.artwalk.com.br/tenis-nike-air-force-1-07-feminino-hf201-4-200/p;https://artwalk.vtexassets.com/arquivos/ids/574903-300-375?v=638779062804400000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Nike Tênis Nike Air Force 1 07 Feminino;999.99;Tênis Nike Air Force 1 07 Feminino Vermelho Características O Tênis Nike Air Force 1 07 Feminino na cor Vermelho é uma peça essencial para quem busca estilo e conforto. Seu material sintético de alta qualidade proporciona durabilidade e resistência, ao mesmo tempo em que oferece um ajuste confortável aos pés. Além disso, o material sintético é fácil de limpar e manter, garantindo que seu tênis esteja sempre impecável. A cor Vermelho traz um toque de personalidade ao visual, combinando perfeitamente com diferentes estilos, desde o mais casual até o mais despojado. Seja para um look mais básico ou para dar um destaque especial ao visual, o Tênis Nike Air Force 1 07 Feminino na cor Vermelho é uma escolha cheia de estilo. Versatilidade Com um design clássico e atemporal, o Tênis Nike Air Force 1 07 Feminino Vermelho é extremamente versátil e pode ser usado em diversas ocasiões. Seja para um passeio no parque, um dia de compras ou até mesmo para um encontro com amigos, esse tênis se adapta perfeitamente a diferentes momentos do dia a dia. Sua versatilidade permite que seja combinado com peças esportivas, como leggings e shorts, ou com roupas mais casuais, como jeans e camisetas. Com o Tênis Nike Air Force 1 07 Feminino Vermelho, você estará sempre pronta para arrasar no visual, sem abrir mão do conforto e da praticidade.;Vermelho;Não informado;Casual / Dia a Dia;https://www.artwalk.com.br/tenis-nike-air-force-1-07-feminino-hf201-6-600/p;https://artwalk.vtexassets.com/arquivos/ids/573834-300-375?v=638756564485000000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Nike Tênis Nike Air Force 1 07 LV8 Masculino;899.99;Tênis Nike Air Force 1 07 LV8 Masculino Branco Características O Tênis Nike Air Force 1 07 LV8 Masculino é uma verdadeira obra-prima em estilo e conforto. Feito de Couro (não animal), esse material de alta qualidade garante durabilidade, conforto e um visual sofisticado. O Couro confere resistência e flexibilidade ao calçado, moldando-se aos pés para proporcionar um ajuste perfeito. Além disso, o aspecto premium do Couro adiciona um toque de elegância ao visual. A cor Branco do tênis é extremamente versátil, combinando perfeitamente com diferentes estilos e cores de roupa. Seja para um look mais casual ou para um visual mais refinado, o Tênis Nike Air Force 1 07 LV8 Masculino na cor Branco é uma escolha certeira. Versatilidade A versatilidade do Tênis Nike Air Force 1 07 LV8 Masculino Branco é impressionante. Com um design icônico e atemporal, esse tênis pode ser facilmente incorporado em diferentes ocasiões e estilos. Seja para um dia agitado na cidade, para um passeio descontraído ou até mesmo para uma ocasião mais formal com um toque de estilo , esse calçado se adapta a todas as situações. Seja você um amante de tênis ou alguém que busca conforto sem abrir mão do estilo, o Tênis Nike Air Force 1 07 LV8 Masculino Branco é a escolha ideal para quem busca versatilidade em um único produto.;Branco;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-nike-air-force-1-07-lv8-masculino-hm948-3-100/p;https://artwalk.vtexassets.com/arquivos/ids/572123-300-375?v=638735860858500000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Air Max DN8 Masculino;1499.99;Tênis Nike Air Max DN8 Masculino Preto Características O Tênis Nike Air Max DN8 Masculino na cor Preto é confeccionado em material têxtil de alta qualidade, proporcionando conforto excepcional aos pés. Além disso, o material têxtil garante durabilidade ao calçado, tornando-o resistente ao uso diário. A cor Preto, clássica e versátil, combina facilmente com diferentes estilos e cores de roupas, conferindo um toque de elegância e modernidade ao visual. Versatilidade Este tênis é extremamente versátil e pode ser usado em diversas ocasiões, desde um dia casual no parque até um evento esportivo. Seu design moderno e confortável o torna ideal para o estilo , que mescla peças esportivas com itens do dia a dia. Com o Tênis Nike Air Max DN8 Masculino Preto, você estará sempre confortável e estiloso, independentemente da ocasião.;Preto;Não informado;Esportivo / Casual;https://www.artwalk.com.br/tenis-nike-air-max-dn8-masculino-fq786-0-003/p;https://artwalk.vtexassets.com/arquivos/ids/575634-300-375?v=638786986000070000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Air Force 1 07 LV8 Trend Masculino;899.99;Tênis Nike Air Force 1 07 LV8 Trend Masculino Bege Características Este Tênis Nike Air Force 1 07 LV8 Trend Masculino na cor Bege é feito de couro não animal, garantindo conforto, durabilidade e estilo. O material de couro proporciona um ajuste personalizado, além de ser resistente e de alta qualidade. O design em Couro(não animal) confere um toque de sofisticação ao calçado, tornando-o uma escolha elegante para diversas ocasiões. A cor Bege é versátil e combina facilmente com diferentes looks, desde os mais casuais até os mais formais, adicionando um toque de elegância e modernidade. Versatilidade Com seu design atemporal e a cor neutra Bege, este Tênis Nike Air Force 1 07 LV8 Trend Masculino é extremamente versátil. Perfeito para o estilo , ele pode ser usado tanto em momentos descontraídos do dia a dia, como para compor um visual mais elaborado. Seja para um passeio no parque, um encontro com amigos ou até mesmo para um evento mais formal, este tênis se adapta facilmente a diferentes ocasiões, garantindo conforto e estilo em todas elas.;Bege;Não informado;Dia a Dia / Passeio;https://www.artwalk.com.br/tenis-nike-air-force-1-07-lv8-trend-masculino-hj446-5-201/p;https://artwalk.vtexassets.com/arquivos/ids/572695-300-375?v=638739310301600000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Dunk Low Retro Se Masculino;899.99;Tênis Nike Dunk Low Retro SE Masculino Azul Características O Tênis Nike Dunk Low Retro SE Masculino na cor Azul é confeccionado em Material têxtil de alta qualidade, proporcionando conforto excepcional, durabilidade e um toque de estilo único. O material têxtil se adapta aos movimentos dos pés, garantindo uma sensação de leveza e flexibilidade ao caminhar. Além disso, a cor Azul traz um toque de elegância e modernidade ao visual, combinando perfeitamente com diferentes estilos, desde o casual ao mais despojado. Seja para um look mais descontraído ou para um visual mais urbano, o Tênis Nike Dunk Low Retro SE Masculino Azul é a escolha perfeita. Versatilidade Este tênis é extremamente versátil e pode ser utilizado em diversas ocasiões, destacando-se no estilo , que une o conforto e a praticidade do sportswear com a sofisticação das peças urbanas. Seja para um passeio no parque, um encontro com os amigos ou até mesmo para um dia de trabalho descontraído, o Tênis Nike Dunk Low Retro SE Masculino Azul é a opção ideal para quem valoriza o conforto sem abrir mão do estilo. Sinta-se confiante e estiloso em qualquer situação com este incrível tênis da Nike.;Azul;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-nike-dunk-low-retro-se-masculino-hf314-1-400/p;https://artwalk.vtexassets.com/arquivos/ids/574789-300-375?v=638778160255800000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Vomero Roam Masculino;1299.99;Nike Vomero Roam O Nike Vomero Roam é feito de material sintético de alta qualidade, que proporciona conforto, durabilidade e estilo. O material sintético é conhecido por ser resistente e flexível, garantindo um ajuste perfeito aos pés e maior durabilidade ao calçado. Além disso, o material sintético confere um visual moderno e estiloso ao tênis, tornando-o uma escolha ideal para diversas ocasiões. A cor cinza do calçado é versátil e combina facilmente com diferentes estilos, podendo ser facilmente combinada com roupas casuais ou esportivas.;Cinza;Não informado;Estilo;https://www.artwalk.com.br/tenis-nike-vomero-roam-masculino-hv429-4-009/p;https://artwalk.vtexassets.com/arquivos/ids/572733-300-375?v=638739387615030000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Dunk Low Masculino;899.99;Tênis Nike Dunk Low Masculino Cinza Características O Tênis Nike Dunk Low Masculino na cor Cinza é confeccionado em material têxtil de alta qualidade, que proporciona conforto e durabilidade excepcionais. A textura suave do material têxtil envolve os pés de forma confortável, permitindo que você aproveite cada passo com estilo e leveza. Além disso, a cor Cinza adiciona um toque de sofisticação e versatilidade ao seu visual, combinando facilmente com diferentes estilos e cores de roupas. Seja para um look mais casual ou para um visual mais descolado, este tênis é a escolha perfeita para quem busca conforto e estilo em um só produto. Versatilidade O Tênis Nike Dunk Low Masculino é extremamente versátil e pode ser usado em diversas ocasiões. Seja para um passeio no parque, uma ida ao shopping ou até mesmo em um evento mais descontraído, este tênis se adapta perfeitamente a qualquer situação. Sua versatilidade no estilo permite que você crie combinações únicas e modernas, unindo o conforto do tênis com peças mais elegantes. Com o Tênis Nike Dunk Low Masculino Cinza, você estará sempre pronto para arrasar em qualquer lugar!;Cinza;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-nike-dunk-low-masculino-hv430-1-030/p;https://artwalk.vtexassets.com/arquivos/ids/573138-300-375?v=638747903632530000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
